File_A,File_B,Note,DecisionTime,SpeakerGenre,Sentence,freq,Cue,A Gain,B Gain,NumberOfPlaysSoundA,NumberOfPlaysSoundB,Age,Sex,Completed
experiment data/SoundsForExperiment/0_F4.wav,experiment data/SoundsForExperiment/0_F4.wav,-0.02999999999999936,13.801,F,4,4000,0.6,0,0,2,1,,,True
experiment data/SoundsForExperiment/-10_M2.wav,experiment data/SoundsForExperiment/-5_M2.wav,0.09999999999999964,6.415,M,2,4000,0.6,-10,-5,1,1,,,
experiment data/SoundsForExperiment/0_M1.wav,experiment data/SoundsForExperiment/0_M1.wav,-0.07000000000000028,7.249,M,1,4000,0.6,0,0,1,1,,,
experiment data/SoundsForExperiment/0_F3.wav,experiment data/SoundsForExperiment/-10_F3.wav,-2.08,5.552,F,3,4000,0.6,0,-10,1,1,,,
experiment data/SoundsForExperiment/5_F2.wav,experiment data/SoundsForExperiment/-5_F2.wav,-2.33,6.599,F,2,4000,0.6,5,-5,1,1,,,
experiment data/SoundsForExperiment/-10_F1.wav,experiment data/SoundsForExperiment/0_F1.wav,-1.7699999999999996,5.787,F,1,4000,0.6,-10,0,1,1,,,
experiment data/SoundsForExperiment/10_F1.wav,experiment data/SoundsForExperiment/-10_F1.wav,-4.79,7.331,F,1,4000,0.6,10,-10,1,1,,,
experiment data/SoundsForExperiment/10_F6.wav,experiment data/SoundsForExperiment/0_F6.wav,-4.17,12.715,F,6,4000,0.6,10,0,2,2,,,
experiment data/SoundsForExperiment/-10_M6.wav,experiment data/SoundsForExperiment/10_M6.wav,6.420000000000002,7.188,M,6,4000,0.6,-10,10,1,1,,,
experiment data/SoundsForExperiment/0_F1.wav,experiment data/SoundsForExperiment/0_F1.wav,-0.07000000000000028,6.391,F,1,4000,0.6,0,0,1,1,,,
experiment data/SoundsForExperiment/-10_M4.wav,experiment data/SoundsForExperiment/5_M4.wav,2.7799999999999994,6.644,M,4,4000,0.6,-10,5,1,1,,,
experiment data/SoundsForExperiment/10_F2.wav,experiment data/SoundsForExperiment/-5_F2.wav,-4.44,9.036,F,2,4000,0.6,10,-5,2,1,,,
experiment data/SoundsForExperiment/0_F2.wav,experiment data/SoundsForExperiment/-5_F2.wav,-4.55,16.423,F,2,4000,0.6,0,-5,3,2,,,
experiment data/SoundsForExperiment/5_M5.wav,experiment data/SoundsForExperiment/0_M5.wav,-2.74,10.102,M,5,4000,0.6,5,0,2,2,,,
experiment data/SoundsForExperiment/-10_F5.wav,experiment data/SoundsForExperiment/10_F5.wav,3.92,11.171,F,5,4000,0.6,-10,10,2,2,,,
experiment data/SoundsForExperiment/0_F5.wav,experiment data/SoundsForExperiment/5_F5.wav,1.42,5.471,F,5,4000,0.6,0,5,1,1,,,
experiment data/SoundsForExperiment/0_F2.wav,experiment data/SoundsForExperiment/0_F2.wav,-0.14000000000000057,6.236,F,2,4000,0.6,0,0,1,1,,,
experiment data/SoundsForExperiment/10_F2.wav,experiment data/SoundsForExperiment/5_F2.wav,-2.92,12.026,F,2,4000,0.6,10,5,2,2,,,
experiment data/SoundsForExperiment/0_F5.wav,experiment data/SoundsForExperiment/0_F5.wav,2.4299999999999997,5.931,F,5,4000,0.6,0,0,1,1,,,
experiment data/SoundsForExperiment/-10_M1.wav,experiment data/SoundsForExperiment/0_M1.wav,4.6899999999999995,12.372,M,1,4000,0.6,-10,0,2,2,,,
experiment data/SoundsForExperiment/0_M6.wav,experiment data/SoundsForExperiment/10_M6.wav,9.48,6.407,M,6,4000,0.6,0,10,1,1,,,
experiment data/SoundsForExperiment/-10_M6.wav,experiment data/SoundsForExperiment/-5_M6.wav,0.0,7.561,M,6,4000,0.6,-10,-5,1,1,,,
experiment data/SoundsForExperiment/5_M5.wav,experiment data/SoundsForExperiment/10_M5.wav,5.6899999999999995,5.949,M,5,4000,0.6,5,10,1,1,,,
experiment data/SoundsForExperiment/10_M2.wav,experiment data/SoundsForExperiment/0_M2.wav,-6.46,6.08,M,2,4000,0.6,10,0,1,1,,,
experiment data/SoundsForExperiment/10_F4.wav,experiment data/SoundsForExperiment/5_F4.wav,-2.95,5.348,F,4,4000,0.6,10,5,1,1,,,
experiment data/SoundsForExperiment/10_F5.wav,experiment data/SoundsForExperiment/5_F5.wav,-5.49,13.392,F,5,4000,0.6,10,5,2,2,,,
experiment data/SoundsForExperiment/-5_M5.wav,experiment data/SoundsForExperiment/5_M5.wav,6.149999999999999,6.192,M,5,4000,0.6,-5,5,1,1,,,
experiment data/SoundsForExperiment/0_F3.wav,experiment data/SoundsForExperiment/0_F3.wav,0.2400000000000002,5.48,F,3,4000,0.6,0,0,1,1,,,
experiment data/SoundsForExperiment/0_F4.wav,experiment data/SoundsForExperiment/10_F4.wav,1.9800000000000004,5.789,F,4,4000,0.6,0,10,1,1,,,
experiment data/SoundsForExperiment/-10_F2.wav,experiment data/SoundsForExperiment/10_F2.wav,8.16,6.442,F,2,4000,0.6,-10,10,1,1,,,
experiment data/SoundsForExperiment/5_M1.wav,experiment data/SoundsForExperiment/-10_M1.wav,-3.4400000000000004,5.791,M,1,4000,0.6,5,-10,1,1,,,
experiment data/SoundsForExperiment/-5_M2.wav,experiment data/SoundsForExperiment/10_M2.wav,6.149999999999999,5.62,M,2,4000,0.6,-5,10,1,1,,,
experiment data/SoundsForExperiment/-10_M1.wav,experiment data/SoundsForExperiment/-5_M1.wav,0.07000000000000028,5.615,M,1,4000,0.6,-10,-5,1,1,,,
experiment data/SoundsForExperiment/-5_F4.wav,experiment data/SoundsForExperiment/-10_F4.wav,-1.5600000000000005,5.779,F,4,4000,0.6,-5,-10,1,1,,,
experiment data/SoundsForExperiment/-5_M4.wav,experiment data/SoundsForExperiment/5_M4.wav,4.76,6.008,M,4,4000,0.6,-5,5,1,1,,,
experiment data/SoundsForExperiment/5_F2.wav,experiment data/SoundsForExperiment/0_F2.wav,-1.9800000000000004,6.189,F,2,4000,0.6,5,0,1,1,,,
experiment data/SoundsForExperiment/-10_F3.wav,experiment data/SoundsForExperiment/-5_F3.wav,0.8699999999999992,4.89,F,3,4000,0.6,-10,-5,1,1,,,
experiment data/SoundsForExperiment/10_M2.wav,experiment data/SoundsForExperiment/5_M2.wav,-3.0199999999999996,7.786,M,2,4000,0.6,10,5,2,1,,,
experiment data/SoundsForExperiment/10_M1.wav,experiment data/SoundsForExperiment/-10_M1.wav,-2.26,5.8,M,1,4000,0.6,10,-10,1,1,,,
experiment data/SoundsForExperiment/-10_F5.wav,experiment data/SoundsForExperiment/0_F5.wav,2.33,5.891,F,5,4000,0.6,-10,0,1,1,,,
experiment data/SoundsForExperiment/0_M4.wav,experiment data/SoundsForExperiment/-10_M4.wav,-0.16999999999999993,6.711,M,4,4000,0.6,0,-10,1,1,,,
experiment data/SoundsForExperiment/10_M5.wav,experiment data/SoundsForExperiment/-5_M5.wav,-3.12,5.768,M,5,4000,0.6,10,-5,1,1,,,
experiment data/SoundsForExperiment/10_F1.wav,experiment data/SoundsForExperiment/0_F1.wav,-1.4600000000000009,11.047,F,1,4000,0.6,10,0,2,2,,,
experiment data/SoundsForExperiment/-10_M2.wav,experiment data/SoundsForExperiment/5_M2.wav,2.2200000000000006,5.829,M,2,4000,0.6,-10,5,1,1,,,
experiment data/SoundsForExperiment/-5_F1.wav,experiment data/SoundsForExperiment/5_F1.wav,0.02999999999999936,5.583,F,1,4000,0.6,-5,5,1,1,,,
experiment data/SoundsForExperiment/5_F6.wav,experiment data/SoundsForExperiment/-5_F6.wav,-3.0599999999999996,6.964,F,6,4000,0.6,5,-5,1,1,,,
experiment data/SoundsForExperiment/0_F2.wav,experiment data/SoundsForExperiment/10_F2.wav,9.510000000000002,6.361,F,2,4000,0.6,0,10,1,1,,,
experiment data/SoundsForExperiment/-10_M6.wav,experiment data/SoundsForExperiment/5_M6.wav,9.55,6.379,M,6,4000,0.6,-10,5,1,1,,,
experiment data/SoundsForExperiment/5_F1.wav,experiment data/SoundsForExperiment/10_F1.wav,0.07000000000000028,5.674,F,1,4000,0.6,5,10,1,1,,,
experiment data/SoundsForExperiment/-10_M5.wav,experiment data/SoundsForExperiment/0_M5.wav,1.9399999999999995,6.004,M,5,4000,0.6,-10,0,1,1,,,
experiment data/SoundsForExperiment/-5_M5.wav,experiment data/SoundsForExperiment/0_M5.wav,-0.02999999999999936,5.42,M,5,4000,0.6,-5,0,1,1,,,
experiment data/SoundsForExperiment/-10_F6.wav,experiment data/SoundsForExperiment/-5_F6.wav,-0.02999999999999936,6.491,F,6,4000,0.6,-10,-5,1,1,,,
experiment data/SoundsForExperiment/-10_F4.wav,experiment data/SoundsForExperiment/5_F4.wav,4.65,5.771,F,4,4000,0.6,-10,5,1,1,,,
experiment data/SoundsForExperiment/10_M5.wav,experiment data/SoundsForExperiment/0_M5.wav,-3.6799999999999997,5.901,M,5,4000,0.6,10,0,1,1,,,
experiment data/SoundsForExperiment/-5_F5.wav,experiment data/SoundsForExperiment/5_F5.wav,3.7799999999999994,5.92,F,5,4000,0.6,-5,5,1,1,,,
experiment data/SoundsForExperiment/-5_M1.wav,experiment data/SoundsForExperiment/5_M1.wav,3.0600000000000005,5.596,M,1,4000,0.6,-5,5,1,1,,,
experiment data/SoundsForExperiment/10_F3.wav,experiment data/SoundsForExperiment/0_F3.wav,-1.8100000000000005,5.752,F,3,4000,0.6,10,0,1,1,,,
experiment data/SoundsForExperiment/-5_M1.wav,experiment data/SoundsForExperiment/10_M1.wav,3.6099999999999994,5.625,M,1,4000,0.6,-5,10,1,1,,,
experiment data/SoundsForExperiment/0_M5.wav,experiment data/SoundsForExperiment/0_M5.wav,-0.02999999999999936,10.431,M,5,4000,0.6,0,0,2,2,,,
experiment data/SoundsForExperiment/10_M1.wav,experiment data/SoundsForExperiment/0_M1.wav,-1.67,10.353,M,1,4000,0.6,10,0,2,2,,,
experiment data/SoundsForExperiment/10_M6.wav,experiment data/SoundsForExperiment/-5_M6.wav,-2.26,6.646,M,6,4000,0.6,10,-5,1,1,,,
experiment data/SoundsForExperiment/10_M1.wav,experiment data/SoundsForExperiment/5_M1.wav,-3.3,5.551,M,1,4000,0.6,10,5,1,1,,,
experiment data/SoundsForExperiment/-10_F1.wav,experiment data/SoundsForExperiment/-5_F1.wav,-3.58,5.531,F,1,4000,0.6,-10,-5,1,1,,,
experiment data/SoundsForExperiment/5_M5.wav,experiment data/SoundsForExperiment/-10_M5.wav,-4.31,5.842,M,5,4000,0.6,5,-10,1,1,,,
experiment data/SoundsForExperiment/-5_F5.wav,experiment data/SoundsForExperiment/10_F5.wav,8.09,6.419,F,5,4000,0.6,-5,10,1,1,,,
experiment data/SoundsForExperiment/-5_M2.wav,experiment data/SoundsForExperiment/0_M2.wav,-0.7300000000000004,5.948,M,2,4000,0.6,-5,0,1,1,,,
experiment data/SoundsForExperiment/-10_F6.wav,experiment data/SoundsForExperiment/0_F6.wav,2.74,6.372,F,6,4000,0.6,-10,0,1,1,,,
experiment data/SoundsForExperiment/10_F6.wav,experiment data/SoundsForExperiment/-5_F6.wav,-3.75,6.751,F,6,4000,0.6,10,-5,1,1,,,
experiment data/SoundsForExperiment/5_M4.wav,experiment data/SoundsForExperiment/10_M4.wav,-0.16999999999999993,6.77,M,4,4000,0.6,5,10,1,1,,,
experiment data/SoundsForExperiment/-5_M3.wav,experiment data/SoundsForExperiment/-10_M3.wav,-0.09999999999999964,6.222,M,3,4000,0.6,-5,-10,1,1,,,
experiment data/SoundsForExperiment/10_F3.wav,experiment data/SoundsForExperiment/-5_F3.wav,-3.0599999999999996,4.813,F,3,4000,0.6,10,-5,1,1,,,
experiment data/SoundsForExperiment/-5_M3.wav,experiment data/SoundsForExperiment/5_M3.wav,7.57,4.994,M,3,4000,0.6,-5,5,1,1,,,
experiment data/SoundsForExperiment/-5_F4.wav,experiment data/SoundsForExperiment/10_F4.wav,5.73,6.112,F,4,4000,0.6,-5,10,1,1,,,
experiment data/SoundsForExperiment/-10_M3.wav,experiment data/SoundsForExperiment/5_M3.wav,6.420000000000002,6.382,M,3,4000,0.6,-10,5,1,1,,,
experiment data/SoundsForExperiment/5_M6.wav,experiment data/SoundsForExperiment/0_M6.wav,0.02999999999999936,7.443,M,6,4000,0.6,5,0,1,1,,,
experiment data/SoundsForExperiment/-5_F3.wav,experiment data/SoundsForExperiment/5_F3.wav,5.0,5.122,F,3,4000,0.6,-5,5,1,1,,,
experiment data/SoundsForExperiment/5_F6.wav,experiment data/SoundsForExperiment/-10_F6.wav,-3.8899999999999997,6.977,F,6,4000,0.6,5,-10,1,1,,,
experiment data/SoundsForExperiment/-5_M2.wav,experiment data/SoundsForExperiment/5_M2.wav,4.199999999999999,5.571,M,2,4000,0.6,-5,5,1,1,,,
experiment data/SoundsForExperiment/10_M6.wav,experiment data/SoundsForExperiment/5_M6.wav,-2.2199999999999998,6.559,M,6,4000,0.6,10,5,1,1,,,
experiment data/SoundsForExperiment/-10_M3.wav,experiment data/SoundsForExperiment/10_M3.wav,6.77,5.217,M,3,4000,0.6,-10,10,1,1,,,
experiment data/SoundsForExperiment/0_M3.wav,experiment data/SoundsForExperiment/0_M3.wav,0.02999999999999936,4.902,M,3,4000,0.6,0,0,1,1,,,
experiment data/SoundsForExperiment/-5_M6.wav,experiment data/SoundsForExperiment/5_M6.wav,0.9700000000000006,8.854,M,6,4000,0.6,-5,5,1,1,,,
experiment data/SoundsForExperiment/0_M3.wav,experiment data/SoundsForExperiment/-10_M3.wav,-2.4699999999999998,5.563,M,3,4000,0.6,0,-10,1,1,,,
experiment data/SoundsForExperiment/-5_F6.wav,experiment data/SoundsForExperiment/0_F6.wav,0.0,6.962,F,6,4000,0.6,-5,0,1,1,,,
experiment data/SoundsForExperiment/-5_M3.wav,experiment data/SoundsForExperiment/10_M3.wav,9.55,4.96,M,3,4000,0.6,-5,10,1,1,,,
experiment data/SoundsForExperiment/5_F3.wav,experiment data/SoundsForExperiment/10_F3.wav,1.8399999999999999,4.724,F,3,4000,0.6,5,10,1,1,,,
experiment data/SoundsForExperiment/5_F1.wav,experiment data/SoundsForExperiment/0_F1.wav,-0.2400000000000002,5.83,F,1,4000,0.6,5,0,1,1,,,
experiment data/SoundsForExperiment/-10_F2.wav,experiment data/SoundsForExperiment/5_F2.wav,8.75,6.589,F,2,4000,0.6,-10,5,1,1,,,
experiment data/SoundsForExperiment/-10_F2.wav,experiment data/SoundsForExperiment/-5_F2.wav,-2.1500000000000004,8.687,F,2,4000,0.6,-10,-5,1,1,,,
experiment data/SoundsForExperiment/0_M4.wav,experiment data/SoundsForExperiment/-5_M4.wav,0.0,6.82,M,4,4000,0.6,0,-5,1,1,,,
experiment data/SoundsForExperiment/0_M4.wav,experiment data/SoundsForExperiment/10_M4.wav,8.329999999999998,6.557,M,4,4000,0.6,0,10,1,1,,,
experiment data/SoundsForExperiment/5_F6.wav,experiment data/SoundsForExperiment/0_F6.wav,0.0,6.491,F,6,4000,0.6,5,0,1,1,,,
experiment data/SoundsForExperiment/5_M4.wav,experiment data/SoundsForExperiment/0_M4.wav,-1.6999999999999993,6.213,M,4,4000,0.6,5,0,1,1,,,
experiment data/SoundsForExperiment/-10_F6.wav,experiment data/SoundsForExperiment/10_F6.wav,6.350000000000001,6.469,F,6,4000,0.6,-10,10,1,1,,,
experiment data/SoundsForExperiment/-10_F5.wav,experiment data/SoundsForExperiment/5_F5.wav,7.710000000000001,5.699,F,5,4000,0.6,-10,5,1,1,,,
experiment data/SoundsForExperiment/-5_F1.wav,experiment data/SoundsForExperiment/10_F1.wav,8.3,5.945,F,1,4000,0.6,-5,10,1,1,,,
experiment data/SoundsForExperiment/-10_M5.wav,experiment data/SoundsForExperiment/-5_M5.wav,-0.09999999999999964,27.708,M,5,4000,0.6,-10,-5,2,1,,,
experiment data/SoundsForExperiment/0_F5.wav,experiment data/SoundsForExperiment/-5_F5.wav,-0.16999999999999993,6.117,F,5,4000,0.6,0,-5,1,1,,,
experiment data/SoundsForExperiment/10_F6.wav,experiment data/SoundsForExperiment/5_F6.wav,-0.14000000000000057,6.734,F,6,4000,0.6,10,5,1,1,,,
experiment data/SoundsForExperiment/0_F5.wav,experiment data/SoundsForExperiment/10_F5.wav,4.970000000000001,5.547,F,5,4000,0.6,0,10,1,1,,,
experiment data/SoundsForExperiment/-5_M3.wav,experiment data/SoundsForExperiment/0_M3.wav,2.99,5.453,M,3,4000,0.6,-5,0,1,1,,,
experiment data/SoundsForExperiment/-10_M2.wav,experiment data/SoundsForExperiment/10_M2.wav,9.059999999999999,46.421,M,2,4000,0.6,-10,10,1,1,,,
experiment data/SoundsForExperiment/10_M5.wav,experiment data/SoundsForExperiment/-10_M5.wav,-5.0,6.244,M,5,4000,0.6,10,-10,1,1,,,
experiment data/SoundsForExperiment/0_F6.wav,experiment data/SoundsForExperiment/0_F6.wav,-0.09999999999999964,6.683,F,6,4000,0.6,0,0,1,1,,,
experiment data/SoundsForExperiment/0_F4.wav,experiment data/SoundsForExperiment/-5_F4.wav,-3.92,11.278,F,4,4000,0.6,0,-5,2,2,,,
experiment data/SoundsForExperiment/0_M6.wav,experiment data/SoundsForExperiment/0_M6.wav,-0.07000000000000028,13.697,M,6,4000,0.6,0,0,2,2,,,
experiment data/SoundsForExperiment/5_F3.wav,experiment data/SoundsForExperiment/0_F3.wav,0.09999999999999964,4.842,F,3,4000,0.6,5,0,1,1,,,
experiment data/SoundsForExperiment/0_M4.wav,experiment data/SoundsForExperiment/0_M4.wav,-0.02999999999999936,31.368,M,4,4000,0.6,0,0,3,3,,,
experiment data/SoundsForExperiment/5_F4.wav,experiment data/SoundsForExperiment/0_F4.wav,-0.16999999999999993,5.773,F,4,4000,0.6,5,0,1,1,,,
experiment data/SoundsForExperiment/-10_M4.wav,experiment data/SoundsForExperiment/10_M4.wav,9.27,6.277,M,4,4000,0.6,-10,10,1,1,,,
experiment data/SoundsForExperiment/0_M2.wav,experiment data/SoundsForExperiment/0_M2.wav,-1.3900000000000006,6.696,M,2,4000,0.6,0,0,1,1,,,
experiment data/SoundsForExperiment/5_F3.wav,experiment data/SoundsForExperiment/-10_F3.wav,-7.33,6.433,F,3,4000,0.6,5,-10,1,1,,,
experiment data/SoundsForExperiment/-10_F4.wav,experiment data/SoundsForExperiment/10_F4.wav,6.010000000000002,5.925,F,4,4000,0.6,-10,10,1,1,,,
experiment data/SoundsForExperiment/5_M3.wav,experiment data/SoundsForExperiment/10_M3.wav,2.5,4.581,M,3,4000,0.6,5,10,1,1,,,
experiment data/SoundsForExperiment/-10_F4.wav,experiment data/SoundsForExperiment/0_F4.wav,1.9399999999999995,5.415,F,4,4000,0.6,-10,0,1,1,,,
experiment data/SoundsForExperiment/5_F1.wav,experiment data/SoundsForExperiment/-10_F1.wav,-3.54,5.726,F,1,4000,0.6,5,-10,1,1,,,
experiment data/SoundsForExperiment/0_M2.wav,experiment data/SoundsForExperiment/5_M2.wav,0.0,7.206,M,2,4000,0.6,0,5,1,1,,,
experiment data/SoundsForExperiment/-10_F5.wav,experiment data/SoundsForExperiment/-5_F5.wav,-0.02999999999999936,26.077,F,5,4000,0.6,-10,-5,3,2,,,
experiment data/SoundsForExperiment/0_F3.wav,experiment data/SoundsForExperiment/-5_F3.wav,-0.21000000000000085,4.605,F,3,4000,0.6,0,-5,1,1,,,
experiment data/SoundsForExperiment/0_F2.wav,experiment data/SoundsForExperiment/-10_F2.wav,-4.48,6.483,F,2,4000,0.6,0,-10,1,1,,,
experiment data/SoundsForExperiment/0_F1.wav,experiment data/SoundsForExperiment/-5_F1.wav,-0.09999999999999964,5.814,F,1,4000,0.6,0,-5,1,1,,,
experiment data/SoundsForExperiment/0_M6.wav,experiment data/SoundsForExperiment/-5_M6.wav,-1.5600000000000005,6.273,M,6,4000,0.6,0,-5,1,1,,,
experiment data/SoundsForExperiment/-10_M6.wav,experiment data/SoundsForExperiment/0_M6.wav,2.9499999999999993,6.761,M,6,4000,0.6,-10,0,1,1,,,
experiment data/SoundsForExperiment/10_M3.wav,experiment data/SoundsForExperiment/0_M3.wav,-3.4699999999999998,5.036,M,3,4000,0.6,10,0,1,1,,,
experiment data/SoundsForExperiment/-10_F3.wav,experiment data/SoundsForExperiment/10_F3.wav,9.510000000000002,5.269,F,3,4000,0.6,-10,10,1,1,,,
experiment data/SoundsForExperiment/0_M1.wav,experiment data/SoundsForExperiment/5_M1.wav,-0.07000000000000028,19.051,M,1,4000,0.6,0,5,3,3,,,
experiment data/SoundsForExperiment/0_M1.wav,experiment data/SoundsForExperiment/-5_M1.wav,-1.5600000000000005,6.659,M,1,4000,0.6,0,-5,1,1,,,
experiment data/SoundsForExperiment/-10_M2.wav,experiment data/SoundsForExperiment/0_M2.wav,1.9800000000000004,5.502,M,2,4000,0.6,-10,0,1,1,,,
experiment data/SoundsForExperiment/-5_M4.wav,experiment data/SoundsForExperiment/10_M4.wav,8.82,6.866,M,4,4000,0.6,-5,10,1,1,,,
experiment data/SoundsForExperiment/-5_F4.wav,experiment data/SoundsForExperiment/5_F4.wav,5.73,5.825,F,4,4000,0.6,-5,5,1,1,,,
experiment data/SoundsForExperiment/0_M3.wav,experiment data/SoundsForExperiment/5_M3.wav,4.3100000000000005,5.121,M,3,4000,0.6,0,5,1,1,,,
experiment data/SoundsForExperiment/-10_M4.wav,experiment data/SoundsForExperiment/-5_M4.wav,1.9800000000000004,6.126,M,4,4000,0.6,-10,-5,1,1,,,
